RESPNO,URBRUR,REGION,LOCATION.LEVEL.1,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_SVC_E,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_F2,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,EA_ROAD_C,EA_TM_NIG,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,NOCALL_6,NOCALL_7,NOCALL_8,NOCALL_9,NOCALL_10,NOCALL_11,NOCALL_12,NOCALL_13,NOCALL_14,NOCALL_15,NOCALL_16,NOCALL_17,NOCALL_18,NOCALL_19,NOCALL_20,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5A,Q5B,Q6,Q7A,Q7B,Q7C,Q7D,Q7E,Q8A,Q8B,Q8C,Q9,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q12A,Q12B,Q12C,Q13A,Q13B,Q13C,Q13D,Q14,Q15,Q16A,Q16B,Q17,Q18A,Q18B,Q19,Q20,Q21A,Q21B,Q21C,Q22,Q23,Q24,Q25,Q26A,Q26B,Q27,Q28,Q29,Q30,Q31A,Q31B,Q32,Q33,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q35,Q36A,Q36B,Q37A,Q37B,Q37C,Q37D,Q37E,Q37F,Q37G,Q37H,Q37I,Q37J,Q37K,Q37L,Q37M,Q38A,Q38B,Q38C,Q38D,Q38E,Q38F,Q38G,Q38H,Q38I,Q38J,Q38K,Q39A,Q39B,Q40A,Q40B,Q40C,Q40D,Q40E,Q40F,Q40G,Q40H,Q41A,Q41B,Q41C,Q41D,Q42A,Q42B,Q43,Q44A,Q44B,Q44C,Q45A,Q45B,Q45C,Q45D,Q45E,Q46PT1OTHER,Q46PT1,Q46PT2OTHER,Q46PT2,Q46PT3OTHER,Q46PT3,Q47A,Q47B,Q47C,Q47D,Q47E,Q47F,Q47G,Q47H,Q47I,Q47J,Q47K,Q47L,Q47M,Q48A,Q48B,Q48C,Q49A,Q49B,Q50,Q51,Q52A,Q52B,Q52C,Q52D,Q53A,Q53B,Q54,Q54Other,Q55A,Q55B,Q55C,Q55D,Q55E,Q56,Q57A,Q57B,Q58,Q59A,Q59B,Q59C,Q59D_NIG,Q59E_NIG,Q60A,Q60B,Q61A,Q61B,Q62A,Q62B,Q62C,Q62D,Q63A,Q63B,Q63C,Q63D,Q63E_NIG,Q63F_NIG,Q64A,Q64B,Q64C,Q64D,Q64E,Q65A,Q65B,Q65C,Q65D,Q65E,Q66,Q67A,Q67B,Q67C,Q67D,Q67E,Q67F,Q67G,Q67H,Q68,Q69A,Q69B,Q70A,Q70B,Q70C,Q71A,Q71B,Q72,Q72Other,Q73A,Q73B,Q73C,Q73D,Q74,Q75,Q76A,Q76B,Q77_NIG,Q78A_NIG,Q78B_NIG,Q79A_NIG,Q79B_NIG,Q79C_NIG,Q80A_NIG,Q80B_NIG,Q80C_NIG,Q81A_NIG,Q81B_NIG,Q82,Q82Other,Q83A,Q83AOther,Q83B,Q83C,Q84,Q85A,Q85B,Q85C,Q85D,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87A,Q87B,Q87C,Q87D,Q87E,Q88A,Q88B,Q88C,Q88D,Q88E,Q88F,Q89A,Q89B,Q89BOther,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,Q90G,Q90H,Q90I,Q90J,Q91A,Q91B,Q92,Q92Other,Q93A,Q93B,Q93C,Q93D,Q93DOther,Q94A,Q94B,Q94BOther,Q94C,Q94D,Q94E,Q95,Q96,Q97,Q97Other,Q98,Q98Other,Q99,Q99Other,Q100,ENDTIME,LENGTH,LENGTH_INT,Q101,Q102,Q102Other,Q103,Q104A,Q104B,Q104C,Q104D,Q104E,Q106A,Q106B,Q106C,Q106D,Q106E,Q106F,Q108,Q109,Q110,Q111,Q111OTHER,Q112,Q112OTHER,Q113,Q113OTHER,Q114,Q115_1,Q115_2,Q115_3,Q115_4,Q115_5,Q115_6,Q115_7,Q115OTHER,TM_A_NIG,TM_B_NIG,TM_C_1_NIG,TM_C_2_NIG,TM_C_3_NIG,withinwt_ea,withinwt_hh
NIG0001,Rural,ANAMBRA,IDEMILI SOUTH,Yes,No,No,Yes,Yes,No,Yes,Can't determine,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Paved tar/concrete,Paved tar/concrete,Good,No,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,6/19/2024,10:10:09,66,Igbo, ,Going in the wrong direction,Very bad,Very bad,Much worse,Much worse,Much worse,Always,Never,Always,Never,Always,"Yes, once or twice",No,"Yes, once or twice",Never,Not at all free,Not at all free,Not at all free,No,No,No,No,Never,Never,Never,I voted in the election,Not applicable,Not applicable,Not applicable,Strongly disagree,"Free and fair, but with major problems",Not at all likely,A lot,Agree with 1,Agree with neither,Agree with 2,Agree with 1,Agree with 1,Strongly disapprove,Strongly disapprove,Strongly approve,"STATEMENT 3: For someone like me, it doesn’t matter what kind of government we have.",Agree with 2,Agree with 2,Agree with 1,Agree with 2,Agree with 2,Agree with 1,Agree with 2,Agree with 1,Agree with 1,Agree with 1,None of the above,"A democracy, with major problems",Not at all satisfied,Always,Never,Rarely,Never,Always,Never,Not at all free,Never,Never,Not at all,Not at all,Not at all,Not at all,Not at all,A lot,Not at all,Not at all,Not at all,Just a little,A lot,A lot,A lot,All of them,All of them,All of them,Some of them,All of them,All of them,All of them,None,None,Some of them,Some of them,Increased a lot,Risk retaliation or other negative consequences,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not Applicable,Not applicable,Some other reason,A lot,Strongly disagree,Agree with 2,Yes,Very Difficult,Never,No,Not applicable,Not applicable,Often,Never, ,Food shortage/ Famine,RELIGION,Other responses, ,Unemployment,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Fairly well,Very badly,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly agree,Strongly agree,Job creation,Agree with 2,Never,Never,Never,Often,Doing enough,Very likely,A traditional leader or traditional court, ,Very likely,Very likely,Not very likely,Very likely,Somewhat likely,No,Very confident,Too harsh,About right,Much less severe,Much more severe,Much less severe,Somewhat less severe,Much more severe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,No,Yes,No,No,No,Every day,Every day,Never,Never,Never,A lot,Very negative,Somewhat negative,Somewhat negative,Somewhat negative,Very positive,Very negative,Very negative,Very negative,None of them / No country or organization helped,Yes,Be neutral,Strongly agree,Strongly agree,Strongly agree,A lot,Another country in the region,Find work/better job/better work opportunities, ,Very good,More job seekers,No refugees at all,Very difficult,No,Regional countries only,Agree with 1,Agree with 1,Agree with 1,Strongly Disapprove,Strongly agree,"No, not very safe",Gang violence,Neighbourhood watch group or Vigilantes,Not very serious,No,Imposing stiffer punishment such as death penalty for perpetrators,Very well,Agree with 1,Not asked in country, ,Igbo, ,Always,I feel equally (national identity) and (ethnic group),Often,Never justified,Never justified,Never justified,Never justified,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,A lot,A lot,Not at all,A lot,Not at all,Strongly like,Strongly dislike,Strongly dislike,Strongly dislike,Strongly like,Strongly like,Yes (feels close to a party),All Progressives Grand Alliance (APGA), ,Yes (personally owns),Yes (personally owns),Yes (personally owns),"No, no one in the household owns",Yes (personally owns),Yes (personally owns),"No, no one in the household owns",No (Does not have Internet access),Every day,Never,Inside the house,Inside the compound,Dug well that is protected, ,Yes,Most of the time,Yes,Generator, ,"Yes, full time","Artisan or skilled manual worker (e.g., trades like electrician, mechanic, machinist or skilled manufacturing worker)", ,Starting your own business,Lack of experience required by employers,Employers prefer to hire men,You make the decisions yourself,Primary school completed,Catholic, ,All Progressives Grand Alliance (APGA), ,"Research company / organization / program, but not national partner", ,Yes,11:54:52,105,No,Man,English, ,No one,No,No,No,No,No,Friendly,Interested,Cooperative,Patient,At ease,Honest,NIG11,28,Woman,Not asked in country, ,Yoruba, ,Yoruba, ,University completed,English,Igbo,Yoruba,Pidgin English,Edo,No further response,No further response, ,No,No,Not Applicable,Not Applicable,Not Applicable,1.066524169153,.47401074184592
NIG0002,Rural,ANAMBRA,IDEMILI SOUTH,Yes,No,No,Yes,Yes,No,Yes,Can't determine,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Paved tar/concrete,Paved tar/concrete,Good,No,Person selected was never at home after at least two visits,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,6/19/2024,10:12:45,21,Igbo, ,Going in the wrong direction,Very bad,Very bad,Much worse,Much worse,Better,Just once or twice,Several times,Just once or twice,Just once or twice,Several times,No,No,No,Never,Not at all free,Not at all free,Not at all free,No,No,No,No,Never,Never,Never,I did not vote,Not applicable,Some other reason,Not applicable,Disagree,"Free and fair, but with minor problems",Somewhat likely,Not at all,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 1,Strongly disapprove,Strongly disapprove,Disapprove,STATEMENT 1: Democracy is preferable to any other kind of government.,Agree with 1,Agree with 2,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 2,Agree with 2,Agree with 1,Statement 1: The military should always restore civilian rule as soon as possible.,"A democracy, with major problems",Not at all satisfied,Never,Rarely,Rarely,Often,Rarely,Never,Not very free,Only sometimes,Never,Not at all,Just a little,Not at all,Just a little,Not at all,Somewhat,Somewhat,A lot,Somewhat,Just a little,Somewhat,Somewhat,Somewhat,Some of them,Some of them,Most of them,Some of them,Most of them,Some of them,Most of them,Some of them,Some of them,Some of them,Some of them,Increased a lot,Risk retaliation or other negative consequences,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not Applicable,Not applicable,No health insurance schemes in this area/ in the country,A lot,Agree,Agree with 2,No,Not applicable,Not applicable,Yes,Easy,Once or twice,A few times,A few times, ,Management of the economy, ,Rates and taxes, ,Poverty/ Destitution,Very badly,Very badly,Fairly badly,Very badly,Fairly badly,Fairly badly,Fairly well,Fairly badly,Fairly well,Fairly badly,Very badly,Very badly,Fairly badly,Strongly disapprove,Strongly disapprove,Disapprove,Strongly disagree,Disagree,Job creation,Agree with 2,Rarely,Rarely,Never,Rarely,Need to do somewhat more,Not very likely,A traditional leader or traditional court, ,Somewhat likely,Somewhat likely,Somewhat likely,Not very likely,Somewhat likely,No,Not very confident,About right,Too lenient,Somewhat less severe,Somewhat less severe,Stayed the same,Somewhat more severe,Somewhat more severe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,No,Yes,No,No,Yes,A few times a week,Less than once a month,Never,A few times a week,Never,A little,Somewhat negative,Somewhat negative,Very negative,Somewhat negative,Somewhat negative,Somewhat positive,Somewhat positive,Somewhat positive,Don’t know / Haven’t heard enough,Yes,Be neutral,Agree,Neither Agree nor disagree,Agree,Somewhat,North America (i.e. USA or Canada),Economic hardship, ,Fairly bad,No job seekers at all,Fewer refugees,Easy,No,All African countries,Agree with 1,Agree with 1,Agree with 2,Strongly Disapprove,Strongly agree,"No, not very safe","Nothing, no security or safety threat",Community leaders / traditional leaders,Not very serious,No,Increasing economic opportunities for all citizens,Fairly well,Agree with 1,Not asked in country, ,Igbo, ,Always,I feel more (ethnic group) than (national identity),Occasionally,Always justified,Always justified,Sometimes justified,Never justified,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Somewhat,Somewhat,Just a little,Just a little,Just a little,Somewhat  like,Somewhat dislike,Somewhat dislike,Somewhat dislike,Would not care,Somewhat dislike,No (does NOT feel close to ANY party),Not Applicable, ,Someone else in household owns,"No, no one in the household owns",Yes (personally owns),Yes (personally owns),Yes (personally owns),"No, no one in the household owns",Yes (personally owns),Not applicable (does not personally have mobile phone),A few times a week,Less than once a month,Outside the compound,Outside the compound,Dug well that is protected, ,No,Not Applicable,No,Not applicable, ,No (not looking),Trader / hawker / vendor, ,Starting your own business,Lack of adequate training or preparation,Women lack the necessary education or skills,You make the decisions jointly with other family members,Primary school completed,"Christian only (i.e., respondents says only “Christian”, without identifying a specific sub-group)", ,Don't know, ,Don’t know, ,Yes,11:28:51,76,No,Woman,Pidgin English, ,No one,No,Yes,No,No,No,Friendly,Interested,In between,Patient,At ease,Honest,NIG10,33,Man,Not asked in country, ,Yoruba, ,Yoruba, ,University completed,English,Hausa,Yoruba,Pidgin English,No further response,No further response,No further response, ,No,No,Not Applicable,Not Applicable,Not Applicable,1.066524169153,2.3700537092296
NIG0003,Rural,ANAMBRA,IDEMILI SOUTH,Yes,No,No,Yes,Yes,No,Yes,Can't determine,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Paved tar/concrete,Paved tar/concrete,Good,No,Refused to be interviewed,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,6/19/2024,10:26:56,31,Igbo, ,Going in the wrong direction,Very bad,Fairly bad,Much worse,Worse,Better,Just once or twice,Several times,Never,Several times,Just once or twice,"Yes, several times",No,No,Just once or twice,Not very free,Not very free,Somewhat free,No,No,No,No,Never,Never,Never,I voted in the election,Not applicable,Not applicable,Not applicable,Agree,Not free and fair,Not very likely,A little bit,Agree with neither,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Strongly disapprove,Strongly approve,Strongly disapprove,"STATEMENT 2: In some circumstances, a non-democratic government can be preferable.",Agree with 2,Agree with 1,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Agree with 1,Agree with 2,"Statement 2: The military should plan a gradual transition back to civilian rule when the country is ready, which might","A democracy, with major problems",Not at all satisfied,Often,Often,Often,Often,Often,Never,Not very free,Never,Never,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Just a little,Not at all,Not at all,Just a little,Some of them,Some of them,Some of them,Some of them,Most of them,Most of them,Most of them,Some of them,Some of them,Most of them,Some of them,Increased a lot,Risk retaliation or other negative consequences,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not Applicable,Not applicable,Cannot afford it,Somewhat,Strongly agree,Agree with 2,Yes,Very Difficult,Never,No,Not applicable,Not applicable,Often,Never, ,Health, ,Unemployment, ,Food shortage/ Famine,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disagree,Strongly disagree,Education,Agree with 2,Never,Never,Never,Never,Need to do much more,Somewhat likely,The police, ,Not very likely,Not very likely,Not very likely,Not very likely,Not very likely,No,Not at all confident,Too harsh,Too lenient,Somewhat less severe,Much less severe,Stayed the same,Much less severe,Somewhat more severe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Agree,Agree,Agree,Disagree,Agree,Agree,No,No,No,Not applicable,No,A few times a week,Less than once a month,Never,Every day,Every day,A lot,Somewhat negative,Neither positive nor negative,Somewhat negative,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know / Haven’t heard enough,No,Not applicable,Agree,Don't know/Haven't heard enough to say,Disagree,Somewhat,North America (i.e. USA or Canada),Find work/better job/better work opportunities, ,Neither good nor bad,No job seekers at all,No refugees at all,Difficult,No,All countries globally,Agree with 1,Agree with 1,Agree with 2,Strongly Disapprove,Agree,"No, not at all safe","Nothing, no security or safety threat",Neighbourhood watch group or Vigilantes,Very serious,No,Increasing economic opportunities for all citizens,Very badly,Agree with 1,Not asked in country, ,Igbo, ,Sometimes,I feel more (ethnic group) than (national identity),Never,Always justified,Always justified,Never justified,Don’t know,Agree,Don’t know,Disagree,Disagree,Strongly agree,Agree,Not at all,Not at all,Not at all,Not at all,Not at all,Would not care,Would not care,Strongly dislike,Would not care,Would not care,Would not care,No (does NOT feel close to ANY party),Not Applicable, ,Yes (personally owns),Yes (personally owns),"No, no one in the household owns","No, no one in the household owns",Yes (personally owns),Yes (personally owns),"No, no one in the household owns",Yes (Has Internet access),Every day,Every day,Inside the house,Inside the compound,Tubewell or borehole, ,Yes,Most of the time,No,Not applicable, ,"Yes, full time",Retail / Shop, ,Starting your own business,Youth lack of entrepreneurial skills or motivation,Employers prefer to hire men,You make the decisions yourself,Secondary school / high school completed,"Christian only (i.e., respondents says only “Christian”, without identifying a specific sub-group)", ,Would not vote, ,"“Afrobarometer"" or national partner", ,No,12:20:18,113,No,Woman,English, ,No one,No,No,No,No,No,Friendly,Interested,Cooperative,In between,At ease,Honest,NIG13,38,Man,Not asked in country, ,Igbo, ,Igbo, ,University completed,English,Igbo,Yoruba,Pidgin English,No further response,No further response,No further response, ,No,No,Not Applicable,Not Applicable,Not Applicable,1.066524169153,.47401074184592
NIG0004,Urban,IMO,OWERRI-MUNICIPAL,Yes,No,No,Yes,Can't determine,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Paved tar/concrete,Paved tar/concrete,Very poor,No,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,6/19/2024,10:40:09,32,Igbo, ,Going in the wrong direction,Fairly bad,Fairly bad,Much worse,Much worse,Better,Just once or twice,Never,Just once or twice,Just once or twice,Several times,No,"Yes, once or twice",No,Many times,Not very free,Completely free,Not very free,No,No,No,No,Never,Never,Never,I voted in the election,Not applicable,Not applicable,Not applicable,Disagree,Not free and fair,Somewhat likely,Not at all,Agree with 2,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Strongly approve,Approve,Disapprove,STATEMENT 1: Democracy is preferable to any other kind of government.,Agree with 1,Agree with 2,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Agree with 2,Agree with 1,"Statement 2: The military should plan a gradual transition back to civilian rule when the country is ready, which might",Not a democracy,Not at all satisfied,Always,Always,Always,Always,Often,Never,Somewhat free,Only sometimes,Often,A lot,Somewhat,A lot,Somewhat,A lot,A lot,A lot,A lot,A lot,Just a little,Not at all,Somewhat,Somewhat,All of them,All of them,Most of them,All of them,Some of them,Some of them,Don't know/ Haven’t heard,Some of them,Some of them,Some of them,Some of them,Increased a lot,Risk retaliation or other negative consequences,Yes,Easy,Never,Never,A few times,A few times,Once or twice,Never,No,Not Applicable,Not applicable,Cannot afford it,A little,Agree,Agree with 2,Yes,Difficult,Never,No,Not applicable,Not applicable,Often,Never, ,Unemployment, ,Crime and security, ,Infrastructure / Roads,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Strongly disapprove,Disapprove,Disapprove,Disagree,Agree,Job creation,Agree with 2,Never,Never,Rarely,Never,Need to do much more,Somewhat likely,Family members, ,Somewhat likely,Somewhat likely,Very likely,Somewhat likely,Very likely,Yes,Somewhat confident,Too harsh,Too lenient,Stayed the same,Much more severe,Stayed the same,Much more severe,Much more severe,Yes,Somewhat better,Natural weather patterns or natural processes,"People, businesses and governments in other parts of the world",Agree,Agree,Disagree,Business and industry,Disagree,Agree,Agree,Disagree,Agree,Strongly agree,No,No,No,No,Yes,A few times a week,Every day,A few times a week,Every day,Every day,A lot,Very negative,Very positive,Very positive,Somewhat positive,Somewhat positive,Very positive,Very positive,Somewhat positive,United States of America,Yes,Be neutral,Agree,Agree,Agree,A little bit,Central or South America,Crime or personal/family insecurity, ,Very good,More job seekers,Fewer refugees,Difficult,No,All countries globally,Agree with neither,Agree with 1,Agree with 2,Disapprove,Agree,"No, not very safe",Robbery using or threatening to use force,Neighbourhood watch group or Vigilantes,Very serious,Yes,Increasing economic opportunities for all citizens,Very badly,Agree with neither,Not asked in country, ,Igbo, ,Sometimes,I feel equally (national identity) and (ethnic group),Rarely,Never justified,Sometimes justified,Sometimes justified,Refused to answer,Disagree,Disagree,Agree,Agree,Agree,Disagree,A lot,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat  like,Would not care,Strongly dislike,Would not care,Would not care,Would not care,No (does NOT feel close to ANY party),Not Applicable, ,Yes (personally owns),Yes (personally owns),Someone else in household owns,Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (Has Internet access),Every day,Every day,Inside the house,Inside the compound,Tubewell or borehole, ,Yes,Most of the time,Yes,Generator, ,No (not looking),Trader / hawker / vendor, ,Starting your own business,Lack of experience required by employers,Employers prefer to hire men,You make the decisions jointly with other family members,University completed,Catholic, ,Labour Party (LP), ,"“Afrobarometer"" or national partner", ,No,12:22:17,102,No,Man,Igbo, ,Another adult/a few others,No,No,No,No,No,Friendly,Interested,Cooperative,In between,At ease,Honest,NIG07,35,Man,Not asked in country, ,Igbo, ,Igbo, ,University completed,English,Igbo,Pidgin English,No further response,No further response,No further response,No further response, ,No,No,Not Applicable,Not Applicable,Not Applicable,.55860894481,1.01565262692763
NIG0005,Urban,IMO,OWERRI-MUNICIPAL,Yes,No,No,Yes,Can't determine,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Paved tar/concrete,Paved tar/concrete,Very poor,No,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,6/19/2024,10:42:44,24,Igbo, ,Going in the wrong direction,Very bad,Fairly bad,Same,Better,Much worse,Several times,Several times,Several times,Several times,Several times,No,No,No,Several times,Not very free,Not very free,Refused,No,No,No,No,Never,Never,Never,I did not vote,Not applicable,Elections don’t make a difference/ are not effective,Not applicable,Strongly agree,Not free and fair,Very likely,Somewhat,Agree with 2,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Strongly disapprove,Strongly disapprove,Disapprove,"STATEMENT 2: In some circumstances, a non-democratic government can be preferable.",Agree with 2,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 2,Agree with 1,Agree with 2,Agree with 2,"Statement 2: The military should plan a gradual transition back to civilian rule when the country is ready, which might",Not a democracy,The country is not a democracy,Often,Often,Often,Always,Often,Never,Not very free,Never,Only sometimes,Not at all,Not at all,Not at all,Not at all,Not at all,Just a little,Not at all,Not at all,Not at all,Not at all,Just a little,Just a little,Just a little,Most of them,All of them,Some of them,All of them,All of them,Most of them,Don't know/ Haven’t heard,Some of them,Some of them,Most of them,Some of them,Increased somewhat,Risk retaliation or other negative consequences,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not Applicable,Not applicable,Cannot afford it,A little,Neither agree nor disagree,Agree with 1,Yes,Difficult,Never,No,Not applicable,Not applicable,A few times,Never, ,Political instability/ Political divisions/ Ethnic tensions, ,Management of the economy, ,Political violence,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Fairly badly,Fairly badly,Fairly badly,Strongly disapprove,Strongly disapprove,Strongly disapprove,Disagree,Strongly agree,Access to business loans,Agree with 1,Rarely,Often,Rarely,Rarely,Need to do much more,Very likely,A traditional leader or traditional court, ,Somewhat likely,Very likely,Somewhat likely,Not very likely,Not very likely,No,Not very confident,Too harsh,Too lenient,Stayed the same,Much less severe,Much less severe,Don’t know,Much less severe,Yes,Neither/ no change / about the same,Both human activity and natural processes,"The people, businesses and government of country",Neither Agree nor disagree,Agree,Agree,The government of country,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,No,No,No,No,No,Never,Never,Never,Every day,A few times a week,None,Somewhat negative,Neither positive nor negative,Neither positive nor negative,Somewhat negative,Neither positive nor negative,Somewhat positive,Somewhat positive,Somewhat positive,United States of America,Yes,Be neutral,Disagree,Disagree,Neither Agree nor disagree,Somewhat,Outside of Africa (place not specified),Better democratic environment/Personal freedom/Human rights/Civil liberties, ,Very bad,No job seekers at all,About the same,Difficult,No,All countries globally,Agree with 1,Agree with 1,Agree with 2,Strongly Disapprove,Agree,"No, not very safe",Robbery using or threatening to use force,Refused to answer,Somewhat serious,No,Increasing economic opportunities for all citizens,Fairly well,Agree with 2,Not asked in country, ,Igbo, ,Always,I feel only (ethnic group),Often,Always justified,Always justified,Always justified,Sometimes justified,Strongly agree,Strongly agree,Strongly disagree,Agree,Neither agree nor disagree,Disagree,A lot,Somewhat,Not at all,Not at all,Just a little,Somewhat dislike,Strongly dislike,Strongly dislike,Would not care,Would not care,Would not care,No (does NOT feel close to ANY party),Not Applicable, ,"No, no one in the household owns","No, no one in the household owns","No, no one in the household owns","No, no one in the household owns",Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (Has Internet access),Every day,Every day,Inside the compound,Inside the compound,Tubewell or borehole, ,Yes,About half of the time,No,Not applicable, ,"Yes, full time",Trader / hawker / vendor, ,Starting your own business,There is a mismatch between education qualifications and job requirements,Don’t know,You make the decisions yourself,Secondary school / high school completed,"Pentecostal (e.g., “Born Again” and/or “Saved”)", ,Would not vote, ,Political party or politician, ,Yes,12:22:58,100,No,Man,English, ,No one,No,No,No,No,No,Friendly,Interested,Cooperative,Patient,At ease,Honest,NIG06,30,Man,Not asked in country, ,Ikwere, ,Ikwere, ,University completed,English,Igbo,Pidgin English,Ikwere,No further response,No further response,No further response, ,No,No,Not Applicable,Not Applicable,Not Applicable,.55860894481,.203130525385526
