RESPNO,URBRUR,REGION,LOCATION.LEVEL.1,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_SVC_E,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_F2,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,EA_ROAD_C,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,NOCALL_6,NOCALL_7,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5A,Q5B,Q6,Q7A,Q7B,Q7C,Q7D,Q7E,Q8A,Q8B,Q8C,Q9,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q12A,Q12B,Q12C,Q13A,Q13B,Q13C,Q13D,Q14,Q15,Q16A,Q16B,Q17,Q18A,Q18B,Q19,Q20,Q21A,Q21B,Q21C,Q22,Q23,Q24,Q25,Q26A,Q26B,Q27,Q28,Q29,Q30,Q31A,Q31B,Q32,Q33,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q35,Q36A,Q36B,Q37A,Q37B,Q37C,Q37D,Q37E,Q37F,Q37G,Q37H,Q37I,Q37J,Q37K,Q37L,Q37M,Q38A,Q38B,Q38C,Q38D,Q38E,Q38F,Q38G,Q38H,Q38I,Q38J,Q38K,Q39A,Q39B,Q40A,Q40B,Q40C,Q40D,Q40E,Q40F,Q40G,Q40H,Q41A,Q41B,Q41C,Q41D,Q42A,Q42B,Q43,Q44A,Q44B,Q44C,Q45A,Q45B,Q45C,Q45D,Q45E,Q46PT1OTHER,Q46PT1,Q46PT2OTHER,Q46PT2,Q46PT3OTHER,Q46PT3,Q47A,Q47B,Q47C,Q47D,Q47E,Q47F,Q47G,Q47H,Q47I,Q47J,Q47K,Q47L,Q47M,Q48A,Q48B,Q48C,Q49A,Q49B,Q50,Q51,Q52A,Q52B,Q52C,Q52D,Q53A,Q53B,Q54,Q54Other,Q55A,Q55B,Q55C,Q55D,Q55E,Q56,Q57A,Q57B,Q58,Q59A,Q59B,Q59C,Q59D_ZAM,Q59E_ZAM,Q60A,Q60B,Q61A,Q61B,Q62A,Q62B,Q62C,Q62D,Q63A,Q63B,Q63C,Q63D,Q63E_ZAM,Q63F_ZAM,Q64A,Q64B,Q64C,Q64D,Q64E,Q65A,Q65B,Q65C,Q65D,Q65E,Q66,Q67A,Q67B,Q67C,Q67D,Q67E,Q67F,Q67G,Q67H,Q68,Q69A,Q69B,Q70A,Q70B,Q70C,Q71A,Q71B,Q72,Q72Other,Q73A,Q73B,Q73C,Q73D,Q74,Q75,Q76A,Q76B,Q77A_ZAM,Q77B_ZAM,Q77C_ZAM,Q77D_ZAM,Q77E_ZAM,Q78A_ZAM,Q78B_ZAM,Q78C_ZAM,Q79A_ZAM,Q79B_ZAM,Q79C_ZAM,Q80A_ZAM,Q80B_ZAM,Q80C_ZAM,Q81_ZAM,Q82,Q82Other,Q83A,Q83AOther,Q83B,Q83C,Q84,Q85A,Q85B,Q85C,Q85D,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87A,Q87B,Q87C,Q87D,Q87E,Q88A,Q88B,Q88C,Q88D,Q88E,Q88F,Q89A,Q89B,Q89BOther,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,Q90G,Q90H,Q90I,Q90J,Q91A,Q91B,Q92,Q92Other,Q93A,Q93B,Q93C,Q93D,Q93DOther,Q94A,Q94B,Q94BOther,Q94C,Q94D,Q94E,Q95,Q96,Q97,Q97Other,Q98,Q98Other,Q99,Q99Other,Q100,ENDTIME,LENGTH,LENGTH_INT,Q101,Q102,Q102Other,Q103,Q104A,Q104B,Q104C,Q104D,Q104E,Q106A,Q106B,Q106C,Q106D,Q106E,Q106F,Q108,Q109,Q110,Q111,Q111OTHER,Q112,Q112OTHER,Q113,Q113OTHER,Q114,Q115_1,Q115_2,Q115_3,Q115_4,Q115_5,Q115_6,Q115_7,Q115_8,Q115_9,Q115OTHER,withinwt_ea,withinwt_hh
ZAM0001,Urban,LUSAKA,LUSAKA,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Earth,Paved tar/concrete,Very good,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,7/8/2024,9:35:40,18,Nyanja, ,Going in the wrong direction,Fairly bad,Neither good nor bad,Same,Much worse,Same,Several times,Just once or twice,Never,Just once or twice,Many times,No,No,No,Never,Not at all free,Not very free,Not at all free,No,No,No,No,Never,Never,Never,I did not vote,Not applicable,Not registered to vote,Was too young to register,Disagree,Don’t know,Very likely,Somewhat,Agree with 1,Agree with 1,Agree with 1,Agree with 1,Agree with 1,Strongly disapprove,Strongly disapprove,Strongly disapprove,"STATEMENT 2: In some circumstances, a non-democratic government can be preferable.",Agree with 1,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Statement 1: The military should always restore civilian rule as soon as possible.,"A democracy, with major problems",Not at all satisfied,Don’t know,Rarely,Always,Rarely,Often,Never,Not very free,Often,Often,Somewhat,Not at all,Just a little,Not at all,Just a little,Not at all,Just a little,Just a little,Just a little,Somewhat,Don’t know/Haven’t heard enough to say,Somewhat,Not at all,Most of them,Some of them,Most of them,Some of them,Most of them,Some of them,Some of them,Some of them,Some of them,Most of them,Some of them,Stayed the same,Risk retaliation or other negative consequences,Yes,Very Difficult,Never,Often,Often,Often,Once or twice,Never,No,Not Applicable,Not applicable,Not aware of any health insurance schemes,A lot,Strongly agree,Agree with 1,No,Not applicable,Not applicable,No,Not applicable,Not applicable,Never,Not applicable, ,Water supply, ,Health, ,Electricity,Fairly badly,Fairly badly,Very badly,Very badly,Very badly,Fairly badly,Very badly,Fairly well,Very badly,Fairly well,Fairly well,Very badly,Very well,Approve,Disapprove,Disapprove,Don't know,Neither Agree nor disagree,Job creation,Agree with 1,Never,Never,Never,Never,Need to do much more,Somewhat likely,The police, ,Very likely,Very likely,Not at all likely,Somewhat likely,Very likely,No,Not very confident,Don’t know / Haven’t heard enough to say,Don’t know / Haven’t heard enough to say,Much less severe,Somewhat less severe,Much more severe,Much less severe,Much less severe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly disagree,Strongly disagree,Don’t know,Agree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,No,No,No,Never,Less than once a month,A few times a week,A few times a week,A few times a week,A lot,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Neither positive nor negative,Neither positive nor negative,Don’t know,Don’t know / Haven’t heard enough,Yes,Side with Russia,Neither Agree nor disagree,Neither Agree nor disagree,Agree,A lot,Europe,To pursue an education, ,Very bad,Fewer job seekers,No refugees at all,Very difficult,No,All countries globally,Agree with 2,Agree with 1,Yes,Yes,Easy,Never,A little bit,Strongly disagree,Strongly disagree,Agree with 1,Disagree,Strongly agree,Agree,Yes,No,A few individuals,Political interference,Not asked in country, ,Chewa, ,Never,I feel more (national identity) than (ethnic group),Rarely,Never justified,Sometimes justified,Never justified,Never justified,Neither agree nor disagree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Just a little,Just a little,Just a little,Just a little,Just a little,Strongly dislike,Strongly like,Strongly dislike,Somewhat dislike,Would not care,Strongly dislike,No (does NOT feel close to ANY party),Not Applicable, ,Someone else in household owns,Someone else in household owns,Someone else in household owns,Someone else in household owns,Someone else in household owns,Someone else in household owns,Someone else in household owns,Not applicable (does not personally have mobile phone),Never,Never,Inside the compound,Outside the compound,Tubewell or borehole, ,Yes,Never,No,Not applicable, ,No (not looking),Student, ,Working in government or public sector,Youth lack of entrepreneurial skills or motivation,Women lack the necessary education or skills,You make the decisions jointly with other family members,Primary school completed,"Christian only (i.e., respondents says only “Christian”, without identifying a specific sub-group)", ,Would not vote, ,"Government (including any government official, government agency or ministry, or any other part of government named by t", ,Yes,10:59:59,84.3165499999999,No,Man,Nyanja/Chewa, ,No one,No,No,No,No,No,Friendly,Interested,Cooperative,Patient,At ease,Honest,ZAM16,32,Man,Not asked in country, ,Nyanja, ,Namwanga, ,University completed,English,Bemba,Nyanja,Chewa,No further response,No further response,No further response,No further response,No further response, ,.722601905631916,.34004795559149
ZAM0002,Urban,LUSAKA,LUSAKA,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Earth,Paved tar/concrete,Very good,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,7/8/2024,9:37:52,30,Nyanja, ,Going in the wrong direction,Fairly bad,Fairly good,Much worse,Worse,Same,Never,Many times,Just once or twice,Just once or twice,Many times,No,No,No,Never,Completely free,Completely free,Completely free,No,No,No,No,Never,Never,Never,I voted in the election,Not applicable,Not applicable,Not applicable,Disagree,Completely free and fair,Not at all likely,A little bit,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Strongly disapprove,Strongly disapprove,Strongly disapprove,STATEMENT 1: Democracy is preferable to any other kind of government.,Agree with 1,Agree with 2,Agree with 2,Agree with 1,Agree with 1,Agree with 2,Agree with 2,Agree with 2,Agree with 2,Agree with 2,Statement 3: The military should rule for as long as they think it is best for the country.,"A democracy, with major problems",Not at all satisfied,Never,Never,Never,Always,Never,Never,Not very free,Never,Never,Not at all,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Not at all,A lot,Not at all,Somewhat,Don’t know/Haven’t heard enough to say,Not at all,A lot,All of them,Some of them,Some of them,All of them,All of them,All of them,All of them,Some of them,None,None,None,Increased a lot,Can report without fear,Yes,Very Difficult,Never,Once or twice,Often,Often,A few times,A few times,No,Not Applicable,Not applicable,Cannot afford it,Not at all,Strongly agree,Agree with 1,No,Not applicable,Not applicable,No,Not applicable,Not applicable,Often,A few times, ,Crime and security, ,Management of the economy, ,Education,Very badly,Fairly badly,Fairly well,Fairly well,Very badly,Very badly,Very badly,Fairly badly,Very badly,Very badly,Fairly well,Very badly,Fairly badly,Strongly disapprove,Strongly disapprove,Strongly disapprove,Strongly disagree,Strongly disagree,Job creation,Agree with 1,Rarely,Rarely,Rarely,Never,Need to do much more,Not very likely,The police, ,Not at all likely,Not at all likely,Somewhat likely,Somewhat likely,Not very likely,No,Not very confident,Too harsh,Too lenient,Much more severe,Much more severe,Somewhat less severe,Much more severe,Much more severe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,No,No,No,No,No,Less than once a month,A few times a month,Never,Never,Never,Don’t know / Haven’t heard enough,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know / Haven’t heard enough,No,Not applicable,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Not at all,Not applicable,Not applicable, ,Fairly good,Fewer job seekers,Fewer refugees,Difficult,No,Don’t know,Agree with 1,Agree with 2,No,No,No contact,No contact,No contact,Agree,Agree,Agree with 2,Strongly disagree,Strongly agree,Strongly agree,Yes,No,A few individuals,Political interference,Not asked in country, ,Mambwe, ,Never,Missing,Never,Never justified,Always justified,Never justified,Never justified,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Just a little,Just a little,Just a little,Just a little,Just a little,Somewhat  like,Somewhat  like,Strongly dislike,Somewhat  like,Strongly dislike,Strongly dislike,No (does NOT feel close to ANY party),Not Applicable, ,Yes (personally owns),Yes (personally owns),Yes (personally owns),Don’t know,Yes (personally owns),Yes (personally owns),Yes (personally owns),No (Does not have Internet access),Every day,Never,Inside the compound,Outside the compound,Piped public or community water system, ,Yes,Occasionally,No,Not applicable, ,"Yes, part time",Retail / Shop, ,Starting your own business,"Youth are unwilling to work certain jobs (e.g., in agriculture or difficult jobs)",Employers prefer to hire men,You make the decisions yourself,Secondary school / high school completed,Anglican, ,Refused to answer, ,"“Afrobarometer"" or national partner", ,No,11:29:10,111.293733333333,No,Woman,Nyanja/Chewa, ,No one,No,No,No,No,No,Friendly,Interested,Cooperative,Patient,At ease,Honest,ZAM15,33,Woman,Not asked in country, ,Nyanja, ,Nsenga, ,Post graduate,English,Bemba,Nyanja,Tonga,Chewa,Nsenga,Ngoni,No further response,No further response, ,.722601905631916,.34004795559149
ZAM0003,Urban,LUSAKA,LUSAKA,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Earth,Paved tar/concrete,Very good,Refused to be interviewed,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,7/8/2024,9:40:40,30,Nyanja, ,Going in the wrong direction,Very bad,Neither good nor bad,Worse,Worse,Much better,Just once or twice,Never,Never,Never,Many times,"Yes, several times",No,No,Don’t know,Somewhat free,Completely free,Completely free,No,No,No,No,Never,Never,Never,I voted in the election,Not applicable,Not applicable,Not applicable,Agree,Completely free and fair,Not at all likely,A lot,Agree with 2,Agree with 1,Agree with 1,Don’t know,Agree with 1,Strongly disapprove,Strongly disapprove,Strongly disapprove,STATEMENT 1: Democracy is preferable to any other kind of government.,Agree with 1,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 2,Agree with 1,Agree with 1,Agree with 2,Statement 3: The military should rule for as long as they think it is best for the country.,"A democracy, but with minor problems",Not very satisfied,Don’t know,Don’t know,Often,Rarely,Always,Often,Completely free,Often,Don’t know,Somewhat,Not at all,Somewhat,Somewhat,Not at all,Somewhat,Just a little,Just a little,Somewhat,A lot,Somewhat,Just a little,Just a little,Most of them,Most of them,Some of them,Some of them,All of them,Some of them,Some of them,Most of them,Some of them,Most of them,Most of them,Increased a lot,Risk retaliation or other negative consequences,Yes,Very Difficult,Never,Often,Often,Often,A few times,Never,No,Not Applicable,Not applicable,Some other reason,A lot,Strongly agree,Agree with 1,No,Not applicable,Not applicable,No,Not applicable,Not applicable,Never,Not applicable, ,Increasing cost of living, ,Unemployment, ,No further reply,Very badly,Very badly,Very badly,Very badly,Very badly,Very badly,Fairly well,Fairly well,Very badly,Very badly,Fairly well,Very badly,Very badly,Disapprove,Strongly disapprove,Disapprove,Agree,Disagree,Job creation,Agree with 2,Never,Rarely,Rarely,Rarely,Need to do much more,Very likely,Don’t know, ,Very likely,Very likely,Very likely,Very likely,Very likely,No,Very confident,About right,About right,Stayed the same,Somewhat less severe,Much more severe,Somewhat less severe,Somewhat less severe,No,Not Applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Strongly agree,Disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Yes,Yes,No,No,No,Less than once a month,A few times a week,Never,A few times a week,Never,Don’t know / Haven’t heard enough,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know,Don’t know / Haven’t heard enough,No,Not applicable,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Don't know/Haven't heard enough to say,Somewhat,Outside of Africa (place not specified),Find work/better job/better work opportunities, ,Fairly bad,Fewer job seekers,No refugees at all,Very difficult,No,Don’t know,Agree with 2,Agree with 2,No,No,No contact,No contact,No contact,Disagree,Strongly agree,Agree with 1,Disagree,Strongly disagree,Strongly agree,Yes,No,A few individuals,Poor guidelines on how CDF should be utilised,Not asked in country, ,Nsenga, ,Don’t know,I feel only (national identity),Often,Don’t know,Always justified,Sometimes justified,Sometimes justified,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Somewhat,Not at all,Somewhat,Somewhat,Just a little,Strongly like,Strongly like,Strongly dislike,Somewhat  like,Don’t know,Don’t know,No (does NOT feel close to ANY party),Not Applicable, ,Someone else in household owns,"No, no one in the household owns",Someone else in household owns,Someone else in household owns,Someone else in household owns,Yes (personally owns),Yes (personally owns),No (Does not have Internet access),Every day,A few times a month,Inside the compound,Outside the compound,Piped public or community water system, ,Yes,Occasionally,No,Not applicable, ,No (not looking),Retail / Shop, ,Starting your own business,Youth lack of entrepreneurial skills or motivation,Lack of remote or flexible work arrangements,You make the decisions yourself,Intermediate school or Some secondary school / high school,Dutch Reformed, ,Patriotic Front (PF), ,Don’t know, ,Yes,11:02:39,81.9769666666667,No,Woman,English, ,No one,No,No,No,No,No,Friendly,In between,Cooperative,Patient,At ease,Honest,ZAM17,24,Man,Not asked in country, ,Nyanja, ,Nsenga, ,Secondary school / high school completed,English,Nyanja,Nsenga,No further response,No further response,No further response,No further response,No further response,No further response, ,.722601905631916,.68009591118298
ZAM0004,Urban,LUSAKA,LUSAKA,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Earth,Paved tar/concrete,Very good,Did not fit gender quota,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,7/8/2024,9:48:43,18,Nyanja, ,Going in the wrong direction,Very bad,Fairly bad,Worse,Worse,Don’t know,Just once or twice,Several times,Several times,Just once or twice,Many times,"Yes, several times","Yes, once or twice",No,Several times,Not very free,Somewhat free,Completely free,No,No,No,No,Never,Never,Never,I was too young to vote,Yes,Not applicable,Not applicable,Strongly disagree,"Free and fair, but with minor problems",Not at all likely,A lot,Agree with 1,Agree with 1,Agree with 2,Agree with 2,Agree with 1,Strongly approve,Strongly approve,Strongly approve,STATEMENT 1: Democracy is preferable to any other kind of government.,Agree with 1,Agree with 2,Agree with 1,Agree with 2,Agree with 1,Agree with 2,Agree with 2,Agree with 1,Agree with 1,Agree with 2,"Statement 2: The military should plan a gradual transition back to civilian rule when the country is ready, which might","A democracy, with major problems",Fairly satisfied,Often,Always,Rarely,Always,Often,Always,Not very free,Only sometimes,Only sometimes,Somewhat,Not at all,A lot,Just a little,Somewhat,Not at all,Just a little,Just a little,Just a little,A lot,Just a little,Just a little,Not at all,Some of them,Some of them,Most of them,All of them,Most of them,Most of them,Most of them,Most of them,Most of them,Some of them,Most of them,Increased somewhat,Risk retaliation or other negative consequences,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not Applicable,Not applicable,Don’t know,A lot,Agree,Agree with 1,No,Not applicable,Not applicable,No,Not applicable,Not applicable,Never,Not applicable, ,Farming/ Agriculture, ,Electricity, ,Infrastructure / Roads,Fairly badly,Fairly badly,Fairly badly,Fairly badly,Fairly badly,Fairly badly,Fairly well,Fairly badly,Fairly badly,Fairly badly,Fairly badly,Very badly,Fairly badly,Disapprove,Disapprove,Disapprove,Disagree,Agree,Education,Agree with 1,Rarely,Often,Often,Rarely,Need to do much more,Not very likely,The police, ,Somewhat likely,Somewhat likely,Very likely,Somewhat likely,Somewhat likely,No,Very confident,About right,About right,Much more severe,Much less severe,Much more severe,Much less severe,Stayed the same,Yes,Much worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","People, businesses and governments in other parts of the world",Agree,Agree,Agree,The government of country,Disagree,Agree,Disagree,Agree,Agree,Agree,No,No,No,No,No,A few times a month,A few times a week,Never,A few times a month,A few times a week,Somewhat,Somewhat positive,Somewhat positive,Somewhat positive,Somewhat negative,Somewhat negative,Very positive,Very positive,Somewhat negative,Don’t know / Haven’t heard enough,Yes,Be neutral,Agree,Agree,Agree,Somewhat,Europe,Find work/better job/better work opportunities, ,Fairly good,Fewer job seekers,Fewer refugees,Easy,No,All countries globally,Agree with 2,Agree with 2,Yes,Yes,Easy,Never,Somewhat,Agree,Disagree,Agree with 1,Agree,Agree,Agree,Yes,No,A few individuals,Don’t know,Not asked in country, ,Nsenga, ,Don’t know,I feel equally (national identity) and (ethnic group),Don’t know,Sometimes justified,Never justified,Never justified,Sometimes justified,Don’t know,Disagree,Disagree,Agree,Disagree,Disagree,Not at all,Not at all,Not at all,Not at all,Not at all,Would not care,Would not care,Strongly dislike,Somewhat dislike,Would not care,Somewhat dislike,No (does NOT feel close to ANY party),Not Applicable, ,Yes (personally owns),Yes (personally owns),"No, no one in the household owns","No, no one in the household owns","No, no one in the household owns",Someone else in household owns,Someone else in household owns,Not applicable (does not personally have mobile phone),A few times a week,A few times a week,Inside the compound,Outside the compound,Tubewell or borehole, ,Yes,About half of the time,No,Not applicable, ,No (not looking),Student, ,Working in government or public sector,Lack of adequate training or preparation,Some other barrier,You make the decisions jointly with other family members,Intermediate school or Some secondary school / high school,"Christian only (i.e., respondents says only “Christian”, without identifying a specific sub-group)", ,Don't know, ,No one, ,Yes,11:31:18,102.597433333333,No,Man,English, ,No one,No,No,No,No,No,Friendly,Interested,Cooperative,Patient,At ease,Honest,ZAM14,41,Man,Not asked in country, ,Nyanja, ,Chewa, ,University completed,English,Bemba,Nyanja,Chewa,Nsenga,No further response,No further response,No further response,No further response, ,.722601905631916,.34004795559149
ZAM0005,Urban,LUSAKA,LUSAKA,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Earth,Paved tar/concrete,Very good,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,Interview was successful,7/8/2024,9:50:06,23,Nyanja, ,Going in the wrong direction,Very bad,Neither good nor bad,Much worse,Same,Much worse,Just once or twice,Many times,Several times,Just once or twice,Several times,"Yes, often","Yes, several times","Yes, several times",Just once or twice,Not very free,Completely free,Completely free,No,No,No,"Yes, several times",Never,Never,Never,I voted in the election,Not applicable,Not applicable,Not applicable,Strongly agree,"Free and fair, but with minor problems",Somewhat likely,Somewhat,Agree with 2,Agree with 1,Agree with 1,Agree with 2,Agree with 1,Strongly disapprove,Approve,Strongly disapprove,STATEMENT 1: Democracy is preferable to any other kind of government.,Agree with 1,Agree with 2,Agree with 1,Agree with 1,Agree with 1,Agree with 2,Agree with 2,Agree with 2,Agree with 2,Agree with 2,Statement 3: The military should rule for as long as they think it is best for the country.,"A democracy, but with minor problems",Not at all satisfied,Rarely,Rarely,Rarely,Always,Always,Never,Not at all free,Only sometimes,Only sometimes,Not at all,Not at all,Just a little,Not at all,Not at all,Not at all,Somewhat,Somewhat,Somewhat,Somewhat,Not at all,Just a little,Just a little,Most of them,Most of them,Most of them,Some of them,Most of them,Some of them,Most of them,None,Some of them,All of them,All of them,Stayed the same,Risk retaliation or other negative consequences,Yes,Difficult,Never,A few times,Never,Often,A few times,Never,No,Not Applicable,Not applicable,Cannot afford it,A lot,Agree,Agree with 2,Yes,Easy,Never,Yes,Very Difficult,Never,Once or twice,Never, ,Increasing cost of living, ,Electricity, ,Corruption,Very badly,Very badly,Fairly well,Very badly,Very badly,Very badly,Very badly,Fairly badly,Fairly well,Very badly,Very well,Very badly,Fairly badly,Disapprove,Disapprove,Disapprove,Disagree,Strongly disagree,Job creation,Agree with 2,Never,Always,Often,Often,Need to do much more,Somewhat likely,The police, ,Not very likely,Somewhat likely,Not at all likely,Not very likely,Somewhat likely,No,Somewhat confident,Too harsh,Too lenient,Much less severe,Much less severe,Somewhat more severe,Much less severe,Much less severe,Yes,Much worse,"Human activity, like cutting down forests, or burning fuel and other activities that pollute the atmosphere","People, businesses and governments in other parts of the world",Strongly agree,Disagree,Agree,Ordinary Citizens,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly agree,No,Yes,Yes,Yes,Yes,A few times a week,Every day,A few times a week,Every day,Every day,A lot,Neither positive nor negative,Somewhat positive,Somewhat negative,Neither positive nor negative,Very positive,Very positive,Somewhat positive,Somewhat positive,United States of America,Yes,Be neutral,Agree,Strongly agree,Agree,A lot,Australia,Find work/better job/better work opportunities, ,Fairly good,Fewer job seekers,Fewer refugees,Difficult,No,All countries globally,Agree with 2,Agree with 1,Yes,Yes,Easy,Once or twice,A little bit,Strongly agree,Strongly agree,Agree with 2,Agree,Strongly agree,Strongly agree,Yes,No,A few individuals,Poor guidelines on how CDF should be utilised,Not asked in country, ,Bemba, ,Sometimes,I feel equally (national identity) and (ethnic group),Often,Always justified,Always justified,Sometimes justified,Never justified,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Somewhat,Not at all,Not at all,Somewhat,Somewhat,Strongly like,Strongly like,Would not care,Somewhat  like,Would not care,Strongly like,Yes (feels close to a party),Patriotic Front (PF), ,Yes (personally owns),Yes (personally owns),Someone else in household owns,Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (personally owns),Yes (Has Internet access),Every day,Every day,Inside the house,Inside the house,Tubewell or borehole, ,Yes,Occasionally,No,Not applicable, ,No (not looking),Student, ,Working for a non-government organization,Youth lack of entrepreneurial skills or motivation,Lack of remote or flexible work arrangements,You make the decisions yourself,Some university,Evangelical, ,Would not vote, ,Non-government or religious organization, ,Yes,11:30:51,100.764583333333,No,Man,English, ,No one,No,No,No,No,No,Friendly,Interested,Cooperative,Patient,At ease,Honest,ZAM10,27,Woman,Not asked in country, ,Bemba, ,Bemba, ,University completed,English,Bemba,Nyanja,Chewa,No further response,No further response,No further response,No further response,No further response, ,1.48453899564299,2.96907799128598
