RESPNO,URBRUR,REGION,LOCATION.LEVEL.1,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_SVC_E,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_F2,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,EA_ROAD_C,NOCALL_1,NOCALL_2,NOCALL_3,NOCALL_4,NOCALL_5,NOCALL_6,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5A,Q5B,Q6,Q7A,Q7B,Q7C,Q7D,Q7E,Q8A,Q8B,Q8C,Q9,Q10A,Q10B,Q10C,Q11A,Q11B,Q11C,Q11D,Q12A,Q12B,Q12C,Q13A,Q13B,Q13C,Q13D,Q14,Q15,Q16A,Q16B,Q17,Q18A,Q18B,Q19,Q20,Q21A,Q21B,Q21C,Q22,Q23,Q24,Q25,Q26A,Q26B,Q27,Q28,Q29,Q30,Q31A,Q31B,Q32,Q33,Q34A,Q34B,Q34C,Q34D,Q34E,Q34F,Q35,Q36A,Q36B,Q37A,Q37B,Q37C,Q37D,Q37D1_MAD,Q37D2_MAD,Q37E,Q37F,Q37G,Q37H,Q37I,Q37J,Q37K,Q37L,Q37M,Q38A,Q38B,Q38C,Q38D,Q38E,Q38F,Q38G,Q38H,Q38I,Q38J,Q38K,Q39A,Q39B,Q40A,Q40B,Q40C,Q40D,Q40E,Q40F,Q40G,Q40H,Q41A,Q41B,Q41C,Q41D,Q42A,Q42B,Q43,Q44A,Q44B,Q44C,Q45A,Q45B,Q45C,Q45D,Q45E,Q46PT1OTHER,Q46PT1,Q46PT2OTHER,Q46PT2,Q46PT3OTHER,Q46PT3,Q47A,Q47B,Q47C,Q47D,Q47E,Q47F,Q47G,Q47H,Q47I,Q47J,Q47K,Q47L,Q47M,Q48A,Q48B,Q48C,Q48D_MAD,Q48E_MAD,Q49A,Q49B,Q50,Q51,Q52A,Q52B,Q52C,Q52D,Q53A,Q53B,Q54,Q54Other,Q55A,Q55B,Q55C,Q55D,Q55E,Q56,Q57A,Q57B,Q58,Q59A,Q59B,Q59C,Q59D_MAD,Q59E_MAD,Q59F_MAD,Q60A,Q60B,Q61A,Q61B,Q62A,Q62B,Q62C,Q62D,Q63A,Q63B,Q63C,Q63D,Q63E_MAD,Q63F_MAD,Q64A,Q64B,Q64C,Q64D,Q64E,Q65A,Q65B,Q65C,Q65D,Q65E,Q66,Q67A,Q67B,Q67C,Q67D,Q67E,Q67F,Q67G,Q67G1_MAD,Q67H,Q68,Q69A,Q69B,Q70A,Q70A1_MAD,Q70B,Q70C,Q71A,Q71B,Q72,Q72Other,Q73A,Q73B,Q73C,Q73D,Q74,Q75,Q76A,Q76B,Q77A_MAD,Q77B_MAD,Q77C_MAD,Q78A_MAD,Q78B_MAD,Q78C_MAD,Q78D_MAD,Q78E_MAD,Q79A_MAD,Q79B_MAD,Q80A_MAD,Q80B_MAD,Q81A_MAD,Q81B_MAD,Q81C_MAD,Q82,Q82Other,Q83A,Q83AOther,Q83B,Q83C,Q84,Q85A,Q85B,Q85C,Q85D,Q86A,Q86B,Q86C,Q86D,Q86E,Q86F,Q87A,Q87B,Q87C,Q87D,Q87E,Q88A,Q88B,Q88C,Q88D,Q88E,Q88F,Q89A,Q89B,Q89BOther,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,Q90G,Q90H,Q90I,Q90J,Q91A,Q91B,Q92,Q92Other,Q93A,Q93B,Q93C,Q93D,Q93DOther,Q94A,Q94B,Q94BOther,Q94C,Q94D,Q94E,Q95,Q96,Q97,Q97Other,Q98,Q98Other,Q99,Q99Other,Q100,ENDTIME,LENGTH,LENGTH_INT,Q101,Q102,Q102Other,Q103,Q104A,Q104B,Q104C,Q104D,Q104E,Q106A,Q106B,Q106C,Q106D,Q106E,Q106F,Q108,Q109,Q110,Q111,Q111Other,Q112,Q112Other,Q113,Q113Other,Q114,Q115_1,Q115_2,Q115_3,Q115_4,Q115Other,withinwt_ea,withinwt_hh
MAD0001,Urbain,ANALAMANGA,ANTANANARIVO,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,goudron/béton pavé,goudron/béton pavé,Bonne,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,10/7/2024,8:54:02,32,Malagasy officiel, ,Dans la bonne direction,Mal,Mal,Meilleures,Meilleures,Meilleures,Quelques fois,Quelques fois,Juste 1 ou 2 fois,Quelques fois,Juste 1 ou 2 fois,Non,"Oui, plusieurs fois",Non,Plusieurs fois,Entièrement libre,Assez libre,Entièrement libre,Non,Non,Non,Non,Jamais,Jamais,Jamais,J'ai voté aux élections,Non applicable,Non applicable,Non applicable,Tout à fait en désaccord,"Libres et transparentes, mais avec des problèmes mineurs",Pas très probable,Pas du tout,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,"AFFIRMATION 3: Pour quelqu’un comme moi, peu importe le type de gouvernement que nous avons.",D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,Affirmation 2: Les militaires doivent prévoir une transition progressive vers un régime civil lorsque le pays sera pr,"Une démocratie, mais avec des problèmes mineurs",Assez satisfait,Rarement,Rarement,Souvent,Souvent,Toujours,Jamais,Entièrement libres,Quelques fois seulement,Jamais,Beaucoup confiance,Partiellement confiance,Partiellement confiance,Pas du tout confiance,Juste un peu confiance,Pas du tout confiance,Beaucoup confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Partiellement confiance,Partiellement confiance,Pas du tout confiance,Pas du tout confiance,Aucun,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,Aucun,Aucun,Certains d’entre eux,La plupart d’entre eux,Pareil,Risquent des représailles ou d’autres conséquences négatives,Non,Aucun contact / Non applicable,Aucun contact / Non applicable,Pas de contact,Pas de contact,Pas de contact,Pas de contact,Pas de contact,Oui,Assurance maladie privée,Assez satisfait,Non applicable,Beaucoup,En accord,D'accord avec l'Affirmation 1,Oui,Très difficile,Jamais,Non,Aucun contact / Non applicable,Aucun contact / Non applicable,Jamais,Aucun contact / Non applicable, ,Santé, ,Education, ,Insécurité alimentaire / famine,Plutôt bien,Très mal,Plutôt bien,Très mal,Très mal,Plutôt mal,Plutôt mal,Plutôt mal,Plutôt mal,Plutôt mal,Plutôt mal,Très mal,Plutôt mal,D’accord,Tout à fait en désaccord,Tout à fait en désaccord,En désaccord,En désaccord,Tout à fait en accord,En désaccord,Education,D'accord avec l'Affirmation 2,Jamais,Jamais,Jamais,Jamais,Besoin d'en faire un peu plus,Pas très probable,La police, ,Quelque peu probable,Très probable,Très probable,Pas très probable,Quelque peu probable,Non,Pas très confiant,Trop indulgent,Trop indulgent,Quelque peu plus graves,Beaucoup plus graves,Ne sait pas,Ne sait pas,Ne sait pas,Beaucoup plus graves,Oui,Beaucoup pire,"L'activité humaine, comme l'abattage des forêts, ou la combustion de carburants et d'autres activités qui polluent l'","Le peuple, les entreprises et le gouvernement du pays",Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,Commerce et industrie,En désaccord,En désaccord,En accord,Tout à fait en accord,En accord,Tout à fait en accord,Non,Non,Non,Oui,Non,Tous les jours,Tous les jours,Quelques fois par mois,Jamais,Jamais,Beaucoup,Ni positive ni négative,Quelque peu positive,Ne sait pas,Ne sait pas,Ne sait pas,Ne sait pas,Quelque peu positive,Quelque peu positive,Quelque peu négative,La Chine,Oui,Du côté de la Russie,En désacord,En désacord,En désacord,En désacord,Pas du tout,Non applicable,Non applicable, ,Assez mal,Plus de demandeurs d'emploi,Pas de réfugiés du tout,Difficile,Non,Tous les pays d'Afrique,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,Non,Non applicable,Non applicable,Toujours justifiée,Jamais justifiée,Parfois justifiée,Toujours justifiée,Jamais justifiée,En désaccord,Jamais,Non,Non applicable,Non,Non applicable,Vendeurs peu scrupuleux,Non demandé dans le pays, ,Merina, ,Jamais,Je me sens uniquement (identité nationale),Jamais,Jamais justifié,Jamais justifié,Jamais justifié,Jamais justifié,En accord,En désaccord,En désaccord,En accord,En accord,En accord,Juste un peu,Pas du tout,Pas du tout,Pas du tout,Pas du tout,Aime quelque peu,Aime quelque peu,N’aimeriez pas tout à fait,Aime quelque peu,Aime quelque peu,N’aimeriez pas tout à fait,Oui (se sent proche d’un parti),Autres,FREEDOM,Quelqu’un d’autre dans le ménage en possède,Quelqu’un d’autre dans le ménage en possède,Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Oui (en possède personnellement),Oui (en possède personnellement),Non (N’a pas accès à l’Internet),Quelques fois par semaine,Jamais,A l’intérieur de la concession,Hors de la concession,Système d'eau potable public ou communautaire, ,Oui,La plupart du temps,Non,Non applicable, ,"Oui, à plein temps","Professionnel de classe supérieure (ex. banquier/financier, médecin, avocat, ingénieur, comptable, professeur, foncti", ,Créer sa propre entreprise,Manque d'expérience requise par les employeurs,Les femmes ne rencontrent aucun obstacle à l’entrée ou à l’avancement sur le marché du travail.,Votre époux/se prend les décisions,Enseignement secondaire / lycée inachevé,Calviniste, ,Ne sait pas, ,Institut / Organisation / Programme de recherche [mais pas Afrobarometer ou partenaire national], ,Non,10:31:10,97,Non,Homme,Malgache (officiel), ,Un autre adulte/Quelques autres personnes,Non,Non,Non,Non,Non,Entre les deux,Interessé(e),Entre les deux,Patient(e),A l’aise,Honnête,MAD26,28,Homme,Non demandé dans le pays, ,Malgache (officiel), ,Merina, ,Université inachevée,Français,Malgache (officiel),Malgache avec spécificité régionale,Pas d’autres réponses, ,1.08189097877468,1.33155812772268
MAD0002,Urbain,ANALAMANGA,ANTANANARIVO,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,goudron/béton pavé,goudron/béton pavé,Bonne,A refusé de se soumettre à l'entretien,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,10/7/2024,8:56:48,59,Malagasy officiel, ,Dans la mauvaise direction,Ni bien ni mal,Très mal,Bien pires,Bien pires,Bien pires,Plusieurs fois,Jamais,Plusieurs fois,Plusieurs fois,Plusieurs fois,"Oui, souvent",Non,Non,Jamais,Pas du tout libre,Entièrement libre,Pas très libre,Non,Non,Non,Non,Une fois seulement,Une fois seulement,Jamais,Je n'ai pas voté,Non applicable,Pas inscrit sur les listes électorales,Ne s’est pas inscrit pour une autre raison,Tout à fait en désaccord,Ni libres ni transparentes,Pas du tout probable,Pas du tout,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 1,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,"AFFIRMATION 3: Pour quelqu’un comme moi, peu importe le type de gouvernement que nous avons.",D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,Affirmation 1: Les militaires doivent toujours rétablir le régime civil le plus rapidement possible.,Pas une démocratie,Pas du tout satisfait,Rarement,Souvent,Souvent,Souvent,Souvent,Jamais,Pas du tout libres,Quelques fois seulement,Jamais,Juste un peu confiance,Pas du tout confiance,Pas du tout confiance,Ne sait pas/ N’en a jamais entendu parler,Juste un peu confiance,Ne sait pas/ N’en a jamais entendu parler,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Juste un peu confiance,Pas du tout confiance,Juste un peu confiance,Pas du tout confiance,Pas du tout confiance,Certains d’entre eux,Aucun,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,La plupart d’entre eux,Aucun,Aucun,Certains d’entre eux,La plupart d’entre eux,Beaucoup augmenté,Risquent des représailles ou d’autres conséquences négatives,Oui,Très difficile,Jamais,Une ou deux fois,Une ou deux fois,Jamais,Souvent,Souvent,Non,Non applicable,Non applicable,Pas de régime d'assurance maladie dans cette région/ dans le pays,Beaucoup,Tout à fait en accord,D'accord avec l'Affirmation 1,Non,Aucun contact / Non applicable,Aucun contact / Non applicable,Non,Aucun contact / Non applicable,Aucun contact / Non applicable,Jamais,Aucun contact / Non applicable, ,Pauvreté / misère, ,Santé, ,Eau,Très mal,Très mal,Plutôt bien,Très mal,Très mal,Très mal,Très mal,Très mal,Très mal,Très mal,Très mal,Très mal,Plutôt bien,En désaccord,En désaccord,Tout à fait en désaccord,D’accord,Tout à fait en désaccord,Tout à fait en accord,Tout à fait en accord,Formation professionnelle,D'accord avec l'Affirmation 2,Rarement,Rarement,Souvent,Rarement,Besoin d'en faire beaucoup plus,Pas très probable,La police, ,Très probable,Pas du tout probable,Pas du tout probable,Pas du tout probable,Pas du tout probable,Oui,Pas du tout confiant,A peu près correcte,Trop indulgent,Quelque peu plus graves,Beaucoup plus graves,Pareils,Pareils,Quelque peu plus graves,Beaucoup plus graves,Oui,Beaucoup pire,"L'activité humaine, comme l'abattage des forêts, ou la combustion de carburants et d'autres activités qui polluent l'","Le peuple, les entreprises et le gouvernement du pays",En accord,En accord,Tout à fait en accord,Les Pays riches ou développés,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en accord,Tout à fait en accord,En désaccord,Tout à fait en accord,Oui,Non,Non,Non,Non,Tous les jours,Tous les jours,Jamais,Jamais,Jamais,Beaucoup,Très négative,Très négative,Ne sait pas,Ni positive ni négative,Quelque peu positive,Ni positive ni négative,Ni positive ni négative,Ne sait pas,Ni positive ni négative,"L'Europe, comme l'Union européenne ou l'ancienne puissance coloniale",Oui,Etre neutre,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en désaccord,En accord,Pas du tout,Non applicable,Non applicable, ,Très bien,Pas de demandeurs d'emploi du tout,Pas de réfugiés du tout,Ne sait pas/ N’en a pas suffisamment entendu parler,Non,Tous les pays du monde,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,Oui,Beaucoup augmenté,Plutôt mauvais,Jamais justifiée,Jamais justifiée,Jamais justifiée,Jamais justifiée,Jamais justifiée,Tout à fait en désaccord,Jamais,Oui,"Catastrophes naturelles, y compris inondations, cyclones",Non,Non applicable,Difficultés à obtenir les titres de propriété auprès de l’administration,Non demandé dans le pays, ,Merina, ,Jamais,Je me sens uniquement (identité nationale),Souvent,Parfois justifié,Parfois justifié,Parfois justifié,Jamais justifié,Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,Tout à fait en accord,Beaucoup,Pas du tout,Juste un peu,Pas du tout,Juste un peu,Aime quelque peu,Aime quelque peu,N’aimeriez pas tout à fait,N’aimeriez pas tout à fait,Aime tout à fait,N’aimeriez pas tout à fait,Oui (se sent proche d’un parti),Autres,GASIKARA MIJORO,Oui (en possède personnellement),Oui (en possède personnellement),Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Personne dans le ménage n’en possède,Non applicable,Jamais,Jamais,Hors de la concession,Hors de la concession,Système d'eau potable public ou communautaire, ,Oui,Parfois,Non,Non applicable, ,Non (à la recherche d’un emploi),"Travailleur non qualifié (ex. nettoyeur, ouvrier, femme de ménage, aide domestique, fabricant non qualifié)", ,Créer sa propre entreprise,Manque d'expérience requise par les employeurs,Les femmes manquentl'éducation ou les compétences nécessaires.,Vous prenez les décisions vous-même,Enseignement primaire achevé,Eglise Catholique, ,Autre,TSY MIANKINA,Ne sait pas, ,Non applicable [Répondant n’a pas le numéro de téléphone personnel],10:27:47,91,Non,Femme,Malgache (officiel), ,Aucune,Non,Non,Non,Non,Non,Amical(e),Interessé(e),Coopératif(ve),Patient(e),A l’aise,Honnête,MAD37,26,Homme,Non demandé dans le pays, ,Malgache (officiel), ,Merina, ,Université inachevée,Français,Malgache (officiel),Malgache avec spécificité régionale,Pas d’autres réponses, ,1.08189097877468,.665779063861341
MAD0003,Urbain,ANALAMANGA,ANTANANARIVO,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,goudron/béton pavé,goudron/béton pavé,Bonne,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,Entretien réussi,10/7/2024,9:08:47,35,Malagasy officiel, ,Dans la mauvaise direction,Mal,Très mal,Meilleures,Bien pires,Bien pires,Quelques fois,Quelques fois,Jamais,Quelques fois,Quelques fois,"Oui, une ou deux fois",Non,Non,Jamais,Pas très libre,Pas très libre,Entièrement libre,Non,Non,Non,Non,Jamais,Jamais,Jamais,Je n'ai pas voté,Non applicable,N’a pas eu le temps de voter,Non applicable,Tout à fait en désaccord,"Libres et transparentes, mais avec des problèmes mineurs",Pas du tout probable,Pas du tout,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,Tout à fait d’accord,Tout à fait en désaccord,D’accord,"AFFIRMATION 3: Pour quelqu’un comme moi, peu importe le type de gouvernement que nous avons.",D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 1,Affirmation 1: Les militaires doivent toujours rétablir le régime civil le plus rapidement possible.,"Une démocratie, avec des problèmes majeurs",Pas du tout satisfait,Rarement,Rarement,Jamais,Jamais,Rarement,Souvent,Pas très libres,Jamais,Jamais,Juste un peu confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Pas du tout confiance,Juste un peu confiance,Juste un peu confiance,Pas du tout confiance,Pas du tout confiance,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,Aucun,Certains d’entre eux,Certains d’entre eux,Certains d’entre eux,Beaucoup augmenté,Risquent des représailles ou d’autres conséquences négatives,Non,Aucun contact / Non applicable,Aucun contact / Non applicable,Pas de contact,Pas de contact,Pas de contact,Pas de contact,Pas de contact,Non,Non applicable,Non applicable,Pas de régime d'assurance maladie dans cette région/ dans le pays,Quelque peu,Tout à fait en accord,D'accord avec l'Affirmation 1,Oui,Facile,Quelques fois,Non,Aucun contact / Non applicable,Aucun contact / Non applicable,Jamais,Aucun contact / Non applicable, ,Salaires et revenus, ,Augmentation du coût de la vie, ,Pas d’autres réponses,Plutôt mal,Plutôt mal,Plutôt mal,Très mal,Très mal,Très mal,Ne sait pas/ N’n a pas assez entendu parler,Plutôt mal,Très mal,Plutôt mal,Très mal,Très mal,Très mal,D’accord,Ne sait pas/ N’n a pas assez entendu parler,En désaccord,En désaccord,Tout à fait en désaccord,Tout à fait en accord,Tout à fait en accord,Création d'emploi,D'accord avec l'Affirmation 2,Jamais,Souvent,Jamais,Souvent,Besoin d'en faire beaucoup plus,Pas très probable,Fonctionnaire du gouvernement, ,Pas du tout probable,Quelque peu probable,Quelque peu probable,Pas très probable,Pas très probable,Non,Plutôt confiant,A peu près correcte,A peu près correcte,Pareils,Pareils,Beaucoup plus graves,Pareils,Pareils,Quelque peu moins graves,Non,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Non applicable,Tout à fait en désaccord,Tout à fait en désaccord,Tout à fait en accord,En accord,En accord,En accord,Oui,Oui,Non,Non,Non,Quelques fois par mois,Quelques fois par semaine,Jamais,Jamais,Jamais,Quelque peu,Quelque peu négative,Quelque peu négative,Quelque peu négative,Quelque peu négative,Quelque peu négative,Quelque peu négative,Quelque peu négative,Quelque peu négative,Quelque peu négative,"L'Europe, comme l'Union européenne ou l'ancienne puissance coloniale",Non,Non applicable,En accord,En désacord,En désacord,En désacord,Pas du tout,Non applicable,Non applicable, ,Très mal,Pas de demandeurs d'emploi du tout,Pas de réfugiés du tout,Très difficile,Non,Pays de la région uniquement,D'accord avec l'Affirmation 2,D'accord avec l'Affirmation 2,Oui,Pareil,Plutôt mauvais,Toujours justifiée,Toujours justifiée,Toujours justifiée,Toujours justifiée,Toujours justifiée,En désaccord,Jamais,Non,Non applicable,Oui,Pas très satisfait,Difficultés à obtenir les titres de propriété auprès de l’administration,Non demandé dans le pays, ,Merina, ,Jamais,Je me sens autant (identité nationale) que (groupe ethnique),Souvent,Parfois justifié,Jamais justifié,Jamais justifié,Jamais justifié,Tout à fait en accord,Tout à fait en accord,Tout à fait en désaccord,En accord,En accord,En accord,Beaucoup,Juste un peu,Pas du tout,Juste un peu,Juste un peu,N’aimeriez pas tout à fait,N’aimeriez pas tout à fait,N’aimeriez pas tout à fait,N’aimeriez pas tout à fait,N’aimeriez pas tout à fait,N’aimeriez pas tout à fait,Non (Ne se sent proche d’AUCUN parti politique),Non Applicable, ,Oui (en possède personnellement),Oui (en possède personnellement),Oui (en possède personnellement),Quelqu’un d’autre dans le ménage en possède,Oui (en possède personnellement),Oui (en possède personnellement),Quelqu’un d’autre dans le ménage en possède,Non (N’a pas accès à l’Internet),Tous les jours,Jamais,A l’intérieur de la concession,A l’intérieur de la maison,Puits tubulaire ou forage, ,Oui,Parfois,Non,Non applicable, ,Non (n’est pas à la recherche d’un emploi),Commerçant/marchand ambulant/vendeur, ,Créer sa propre entreprise,Les jeunes ne sont pas disposés à occuper certains emplois,Manque de services de garde d'enfants,Vous prenez les décisions de commun accord avec votre époux/se,Enseignement secondaire / lycée inachevé,Calviniste, ,Ne voterait pas, ,“Afrobarometere” ou partenaire national, ,Non,10:34:41,86,Non,Femme,Malgache (officiel), ,Aucune,Non,Non,Non,Non,Non,Amical(e),Entre les deux,Coopératif(ve),Entre les deux,A l’aise,Entre les deux,MAD39,28,Femme,Non demandé dans le pays, ,Malgache (officiel), ,Sihanaka, ,Université inachevée,Malgache (officiel),Malgache avec spécificité régionale,Pas d’autres réponses,Pas d’autres réponses, ,1.08189097877468,.665779063861341
